sentence,label,clean_sentence,tokens
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,january september finnlines net sales rose eur mn eur mn corresponding period,"['january', 'september', 'net', 'sale', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2,adjusted changes group structure division net sales increased,"['change', 'group', 'structure', 'division', 'net', 'sale']"
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2,february finnish broadband data communication systems provider teleste oyj hel saw net profit jump m quarter period,"['february', 'finnish', 'broadband', 'data', 'communication', 'system', 'provider', 'teleste', 'oyj', 'hel', 'net', 'profit', 'jump', 'm', 'quarter', 'period']"
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,finnish aktia group operating profit rose eur mn quarter eur mn quarter,"['finnish', 'aktia', 'group', 'operating', 'profit', 'eur', 'mn', 'quarter', 'eur', 'mn', 'quarter']"
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,finnish bank àland consolidated net operating profit increased eur mn quarter eur mn quarter,"['finnish', 'bank', 'àland', 'consolidated', 'net', 'operating', 'profit', 'eur', 'mn', 'quarter', 'eur', 'mn', 'quarter']"
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2,finnish financial group aktia reports operating profit eur mn january september eur mn corresponding period,"['finnish', 'financial', 'group', 'aktia', 'profit', 'eur', 'mn', 'january', 'september', 'eur', 'mn', 'corresponding', 'period']"
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,finnish high technology provider vaahto group reports net sales eur mn accounting period september february increase year earlier,"['finnish', 'high', 'technology', 'provider', 'vaahto', 'group', 'net', 'sale', 'eur', 'mn', 'accounting', 'period', 'september', 'february', 'increase', 'year', 'early']"
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2,net sales finnish food industry company tehtaat continuing operations increased eur mn eur mn,"['net', 'sale', 'finnish', 'food', 'industry', 'company', 'operation', 'eur', 'mn', 'eur', 'mn']"
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,biohit services current genesis customers customer base expected expand result agreement,"['biohit', 'service', 'current', 'genesis', 'customer', 'customer', 'base', 'expand', 'result', 'agreement']"
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2,operating profit turnover month period increased respectively m m compared corresponding period,"['profit', 'turnover', 'month', 'period', 'respectively', 'corresponding', 'period']"
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,circulation revenue increased finland sweden,"['circulation', 'revenue', 'finland', 'sweden']"
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2,clothing chain net sales increased eur mn,"['clothing', 'chain', 'net', 'sale', 'eur', 'mn']"
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2,construction volumes grow rate percent annually,"['construction', 'volume', 'rate', 'percent', 'annually']"
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,biohit estimates total net sales continue grow favourable trends net sales lead profit,"['biohit', 'estimate', 'total', 'net', 'sale', 'favourable', 'trend', 'net', 'sale', 'lead', 'profit']"
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,fiskars cash flow operating activities amounted m m previous year,"['cash', 'flow', 'operating', 'activity', 'm', 'm', 'previous', 'year']"
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2,lithuania operating profit rose eur eur corresponding period,"['lithuania', 'operating', 'profit', 'eur', 'eur', 'corresponding', 'period']"
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,fourth quarter net sales increased eur mn eur mn fourth quarter,"['fourth', 'quarter', 'net', 'sale', 'eur', 'mn', 'eur', 'mn', 'fourth', 'quarter']"
"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,international sales rose eur mn,"['international', 'sale', 'eur', 'mn']"
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,net sales grew period million million million,"['net', 'sale', 'period']"
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,net sales increased m april june m year earlier,"['net', 'sale', 'm', 'april', 'june', 'm', 'year', 'early']"
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2,net sales rose year year m number chargers delivered went million pieces,"['net', 'sale', 'year', 'year', 'm', 'number', 'charger', 'piece']"
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2,net sales totaled eur mn eur mn corresponding period,"['net', 'sale', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,operating profit increased eur mn eur mn,"['profit', 'eur', 'mn', 'eur', 'mn']"
Operating profit margin increased from 11.2 % to 11.7 % .,2,operating profit margin increased,"['profit', 'margin']"
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2,operating profit rose eur mn eur mn corresponding period,"['operating', 'profit', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,operating profit rose eur eur mn fourth quarter,"['operating', 'profit', 'eur', 'eur', 'mn', 'fourth', 'quarter']"
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,operating profit eur mn eur mn,"['profit', 'eur', 'mn', 'eur', 'mn']"
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2,ramirent net sales second quarterended june euro million million percent increase compared euro million thesecond quarter year,"['ramirent', 'net', 'sale', 'second', 'quarterended', 'june', 'euro', 'percent', 'increase', 'euro', 'thesecond', 'quarter', 'year']"
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2,revenue grew percent million million million,"['revenue', 'percent']"
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2,ruukki delivery volumes selling prices showed favourable development company comparable net sales grew year year m ceo sakari tamminen said,"['ruukki', 'delivery', 'volume', 'price', 'favourable', 'development', 'company', 'comparable', 'net', 'sale', 'year', 'year', 'm', 'ceo', 'sakari', 'tamminen']"
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2,company consolidated operating profit amounted eur mn eur mn year year,"['company', 'consolidated', 'operating', 'profit', 'eur', 'mn', 'eur', 'mn', 'year', 'year']"
The Department Store Division reported an increase in sales of 4 per cent .,2,department store division reported increase sales cent,"['department', 'store', 'division', 'increase', 'sale', 'cent']"
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2,fair value company investment properties grew eur billion end march eur million year ago,"['fair', 'value', 'company', 'investment', 'property', 'eur', 'end', 'march', 'eur', 'year', 'ago']"
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2,quarter best quarter net sales operating margin rose,"['quarter', 'good', 'quarter', 'net', 'sale', 'margin']"
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,major breweries increased domestic beer sales cent year million litres million litres,"['major', 'brewery', 'domestic', 'beer', 'sale', 'cent', 'year', 'litre', 'litre']"
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,operating profit rose eur million,"['operating', 'profit', 'eur']"
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,october finnish fishing tackle company rapala vmc corp hel said today net profit rose m months m period year earlier,"['october', 'finnish', 'fishing', 'tackle', 'company', 'rapala', 'vmc', 'corp', 'hel', 'today', 'net', 'profit', 'm', 'month', 'm', 'period', 'year', 'early']"
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2,according finnish metso minerals value company orders gone eur bn months,"['finnish', 'metso', 'mineral', 'value', 'company', 'order', 'eur', 'month']"
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2,finnish bank àland reports operating profit rose eur mn second quarter eur mn corresponding period,"['finnish', 'bank', 'àland', 'operating', 'profit', 'eur', 'mn', 'second', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2,finnish financial group aktia operating profit increased eur mn eur mn,"['finnish', 'financial', 'group', 'aktia', 'operating', 'profit', 'eur', 'mn', 'eur', 'mn']"
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,2,finnish forest machinery manufacturer ponsse net sales grew eur mn quarter eur mn corresponding period,"['finnish', 'forest', 'machinery', 'manufacturer', 'ponsse', 'net', 'sale', 'eur', 'mn', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2,finnish kci konecranes raised net sales growth estimate,"['finnish', 'kci', 'konecrane', 'net', 'sale', 'growth', 'estimate']"
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2,according hkscan finland plan increase suomen portti net sales eur eur,"['hkscan', 'finland', 'plan', 'increase', 'suoman', 'net', 'sale', 'eur', 'eur']"
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,advertising circulation revenues grew respectively,"['advertising', 'circulation', 'revenue', 'respectively']"
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",2,end march group order book eur mn corresponding period,"['end', 'march', 'group', 'order', 'book', 'eur', 'mn', 'corresponding', 'period']"
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2,time profit company increased reached ls,"['time', 'profit', 'company', 'ls']"
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2,operating profit net sales month period increased respectively m m compared financial year,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'financial', 'year']"
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2,operating profit net sales month period increased respectively m m compared financial year,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'financial', 'year']"
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2,operating profit net sales month period increased respectively m m compared,"['profit', 'net', 'sale', 'month', 'period', 'respectively']"
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2,operating profit net sales month period increased respectively m m compared,"['profit', 'net', 'sale', 'month', 'period', 'respectively']"
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2,operating profit net sales month period increased respectively compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2,operating profit net sales month period increased respectively m m compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2,operating profit net sales month period increased respectively m m compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2,operating profit net sales month period increased respectively m m compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2,operating profit net sales month period increased respectively m m compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2,operating profit net sales month period increased respectively m m compared corresponding period,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2,operating profit net sales month period increased respectively m m compared corresponding quarter,"['profit', 'net', 'sale', 'month', 'period', 'respectively', 'corresponding', 'quarter']"
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,operating profit sales month period increased respectively m m compared corresponding period,"['profit', 'sale', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",2,operating profit turnover month period increased respectively m m compared corresponding period year ago,"['profit', 'turnover', 'month', 'period', 'respectively', 'period', 'year']"
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",2,operating profit turnover month period increased respectively m m compared corresponding period,"['profit', 'turnover', 'month', 'period', 'respectively', 'corresponding', 'period']"
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",2,operating profit turnover month period increased respectively m m compared corresponding period year ago,"['profit', 'turnover', 'month', 'period', 'respectively', 'period', 'year']"
Cargo volume increased by approximately 5 % .,2,cargo volume increased approximately,"['cargo', 'volume', 'approximately']"
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",2,comparable operating profit totaled eur eur,"['comparable', 'operating', 'profit', 'eur', 'eur']"
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,digia said consolidated net sales january june m period m,"['digia', 'consolidated', 'net', 'sale', 'january', 'june', 'm', 'period', 'm']"
