sentence,label,clean_sentence,tokens
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",0,production levels agreed producers long time ago fall consumption lead losses,"['production', 'level', 'producer', 'long', 'time', 'ago', 'consumption', 'lead', 'loss']"
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,0,return investment roi compared half,"['investment', 'roi', 'half']"
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0,total mn passenger ship journeys took place northern baltic sea slightly mn,"['total', 'mn', 'passenger', 'ship', 'journey', 'place', 'northern', 'baltic', 'sea', 'slightly', 'mn']"
Finnish media group Talentum has issued a profit warning .,0,finnish media group talentum issued profit warning,"['finnish', 'medium', 'group', 'talentum', 'profit', 'warning']"
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",0,finnish shipping company finnlines pretax loss totalled eur mn quarter compared profit eur mn quarter,"['finnish', 'shipping', 'company', 'pretax', 'loss', 'eur', 'mn', 'quarter', 'profit', 'eur', 'mn', 'quarter']"
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",0,finland city forssa said pay compensation food industry companies hk ruokatalo atria lye leak tap water occurred march,"['finland', 'city', 'forssa', 'compensation', 'food', 'industry', 'company', 'hk', 'ruokatalo', 'atria', 'lye', 'leak', 'tap', 'water', 'march']"
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0,acando ab acanb ss fell percent kronor lowest close,"['acando', 'ab', 'acanb', 'ss', 'percent', 'kronor', 'low', 'close']"
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",0,according ceo matti perkonoja parent company hkscan company performance quarter remained clearly level corresponding period,"['ceo', 'matti', 'perkonoja', 'parent', 'company', 'hkscan', 'company', 'performance', 'quarter', 'clearly', 'level', 'corresponding', 'period']"
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,0,diluted earnings share eps stood eur versus eur,"['earning', 'share', 'eur', 'eur']"
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,0,finnish automation solutions developer cencorp corporation omx helsinki issued thursday september profit warning quarter,"['finnish', 'automation', 'solution', 'developer', 'cencorp', 'corporation', 'omx', 'helsinki', 'thursday', 'september', 'profit', 'warning', 'quarter']"
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0,finnish communication electronics components supplier scanfil oyj tuesday said sales half lower period year ago,"['finnish', 'communication', 'electronic', 'component', 'supplier', 'scanfil', 'oyj', 'tuesday', 'sale', 'half', 'low', 'period', 'year']"
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,0,finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,"['finnish', 'technology', 'company', 'raute', 'corporation', 'omx', 'helsinki', 'rutav', 'tuesday', 'september', 'profit', 'financial', 'year']"
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",0,company operating loss totalled eur mn compared profit eur mn,"['company', 'loss', 'eur', 'mn', 'profit', 'eur', 'mn']"
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",0,year million passengers flew airline percent,"['year', 'passenger', 'airline', 'percent']"
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",0,loss financial items totalled eur mn compared profit eur mn corresponding period,"['financial', 'item', 'eur', 'mn', 'profit', 'eur', 'mn', 'corresponding', 'period']"
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,0,loss period totalled eur mn compared profit eur mn,"['loss', 'period', 'eur', 'mn', 'profit', 'eur', 'mn']"
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,0,operating loss amounted eur mn half compared profit eur mn half,"['loss', 'eur', 'mn', 'half', 'profit', 'eur', 'mn', 'half']"
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",0,operating loss pulp paper machinery unit eur september august compared profit eur mn year earlier,"['loss', 'pulp', 'paper', 'machinery', 'unit', 'eur', 'september', 'august', 'profit', 'eur', 'mn', 'year', 'early']"
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0,operating loss totaled eur mn compared profit eur mn corresponding period,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'corresponding', 'period']"
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",0,operating loss totaled eur mn compared profit eur mn,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn']"
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",0,operating loss totalled eur mn compared profit eur mn half,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'half']"
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",0,operating loss totalled eur mn compared profit eur mn second quarter,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'second', 'quarter']"
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",0,operating loss totalled eur mn compared loss eur mn corresponding period,"['loss', 'eur', 'mn', 'loss', 'eur', 'mn', 'corresponding', 'period']"
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,0,pretax loss totaled eur compared loss eur corresponding period,"['pretax', 'loss', 'eur', 'loss', 'eur', 'corresponding', 'period']"
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0,pretax loss totalled eur mn compared profit eur mn,"['pretax', 'loss', 'eur', 'mn', 'profit', 'eur', 'mn']"
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",0,pretax loss totalled eur mn compared loss eur mn corresponding period,"['pretax', 'loss', 'eur', 'mn', 'loss', 'eur', 'mn', 'corresponding', 'period']"
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",0,publishing sweden operating loss eur mn compared profit eur mn year ago,"['sweden', 'operating', 'loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'year', 'ago']"
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,0,company reported today operating loss m net sales m quarter,"['company', 'today', 'loss', 'net', 'sale', 'quarter']"
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0,cerberus capital management lp backed printing paper maker newpage posted mixed second quarter results casting cloud planned initial public offering,"['cerberus', 'capital', 'management', 'lp', 'paper', 'maker', 'newpage', 'mixed', 'second', 'quarter', 'result', 'cloud', 'initial', 'public', 'offering']"
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",0,finnish electronics manufacturing services ems company elcoteq se posted net loss mln euro mln half compared net profit mln euro mln period,"['finnish', 'electronic', 'manufacturing', 'services', 'ems', 'company', 'elcoteq', 'se', 'net', 'loss', 'mln', 'euro', 'mln', 'half', 'net', 'profit', 'mln', 'euro', 'mln', 'period']"
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,0,finnish laboratory liquid handling diagnostic test systems developer biohit oyj omx helsinki biobv issued tuesday june profit warning financial year,"['finnish', 'laboratory', 'liquid', 'diagnostic', 'test', 'systems', 'developer', 'biohit', 'oyj', 'omx', 'helsinki', 'biobv', 'tuesday', 'june', 'profit', 'financial', 'year']"
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0,finnish retail software developer aldata solution oyj reported net loss mln euro mln versus net profit mln euro mln,"['finnish', 'retail', 'software', 'developer', 'aldata', 'solution', 'oyj', 'net', 'loss', 'mln', 'euro', 'mln', 'net', 'profit', 'mln', 'euro', 'mln']"
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0,finnish textiles clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,"['finnish', 'textile', 'clothing', 'group', 'marimekko', 'oyj', 'net', 'profit', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']"
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",0,january june diluted loss share stood versus half,"['january', 'june', 'loss', 'share', 'half']"
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",0,october upm reported quarter net loss million million compared net profit million,"['october', 'upm', 'quarter', 'net', 'loss', 'net', 'profit']"
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,0,operating loss amounted eur mn compared profit eur mn second quarter,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'second', 'quarter']"
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0,operating loss non recurring items eur mn compared profit eur mn,"['loss', 'non', 'item', 'eur', 'mn', 'profit', 'eur', 'mn']"
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",0,operating profit margin compared year earlier,"['profit', 'margin', 'year', 'early']"
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0,operating profit eur mn compared eur mn,"['profit', 'eur', 'mn', 'eur', 'mn']"
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0,operating result showed loss eur mn year showed profit eur mn,"['operating', 'result', 'loss', 'eur', 'mn', 'year', 'profit', 'eur', 'mn']"
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",0,salcomp oyj finnish maker mobile phone chargers monday posted million loss second quarter compared million profit period previous year,"['oyj', 'finnish', 'maker', 'mobile', 'phone', 'charger', 'monday', 'loss', 'second', 'quarter', 'profit', 'period', 'previous', 'year']"
Scanfil has also issued a profit warning .,0,scanfil issued profit warning,"['scanfil', 'profit', 'warning']"
Scanfil issued a profit warning on 10 April 2006 .,0,scanfil issued profit warning april,"['scanfil', 'profit', 'warning', 'april']"
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",0,operating loss amounted eur mn compared profit eur mn year earlier,"['loss', 'eur', 'mn', 'profit', 'eur', 'mn', 'year', 'early']"
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,0,real estate company posted net loss ó million ó share compared net profit ó million ó share corresponding quarter,"['real', 'estate', 'company', 'net', 'loss', 'ó', 'ó', 'share', 'net', 'profit', 'ó', 'ó', 'share', 'quarter']"
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",0,tietoenator pct extending recent lows week second quarter report dealers said,"['tietoenator', 'pct', 'recent', 'low', 'week', 'second', 'quarter', 'report', 'dealer']"
`` Those uncertainties cloud the long-term outlook . '',0,uncertainties cloud long term outlook,"['uncertainty', 'long', 'term', 'outlook']"
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",0,october finnish environmental management company lassila tikanoja oyj hel said monday expects operating profit excluding non recurring items slightly lower,"['october', 'finnish', 'environmental', 'management', 'company', 'lassila', 'tikanoja', 'oyj', 'hel', 'monday', 'operating', 'profit', 'non', 'item', 'slightly', 'low']"
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",0,according finnish petrol station chain managing director kim wiio company forced purchases rising prices half consumer prices going daily competition,"['finnish', 'petrol', 'station', 'chain', 'director', 'kim', 'wiio', 'company', 'purchase', 'price', 'half', 'consumer', 'price', 'daily', 'competition']"
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,0,finnair said cancellation flights cause daily losses million million,"['finnair', 'cancellation', 'flight', 'daily', 'loss']"
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",0,food sales totalled eur mn october representing decrease october,"['food', 'sale', 'eur', 'mn', 'october', 'decrease', 'october']"
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",0,raute reported loss share half eps corresponding period,"['raute', 'loss', 'share', 'half', 'corresponding', 'period']"
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,0,triggered weak demand forestry equipment uncertain market situation,"['weak', 'demand', 'forestry', 'equipment', 'uncertain', 'market', 'situation']"
The situation of coated magazine printing paper will continue to be weak .,0,situation coated magazine printing paper continue weak,"['situation', 'magazine', 'printing', 'paper', 'weak']"
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",0,copper lead nickel dropped hbos hbos plummeted pence saying,"['copper', 'lead', 'nickel', 'hbos', 'hbo', 'penny']"
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",0,strike finnair estimates incur net loss m m day,"['strike', 'finnair', 'estimate', 'net', 'loss', 'm', 'day']"
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,0,earnings share eps dropped eur eur,"['earning', 'share', 'eur', 'eur']"
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",0,finnair passenger load factor measures number sold seats share available seats dropped percentage points september,"['finnair', 'passenger', 'load', 'factor', 'measure', 'number', 'seat', 'available', 'seat', 'percentage', 'point', 'september']"
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0,frost sold shares million share compared friday high low,"['frost', 'share', 'share', 'friday', 'high', 'low']"
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,0,glaston net profit quarter dropped mln euro mln mln euro mln corresponding period,"['glaston', 'net', 'profit', 'quarter', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln', 'corresponding', 'period']"
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,0,net profit dropped eur million eur million,"['net', 'profit', 'eur', 'eur']"
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",0,lassila tikanoja operating profit excluding non recurring imputed items second quarter m m year ago,"['lassila', 'tikanoja', 'operating', 'profit', 'non', 'item', 'second', 'quarter', 'm', 'm', 'year', 'ago']"
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",0,net cash flow operating activities negative eur mn compared eur mn corresponding period,"['net', 'cash', 'flow', 'operating', 'activity', 'negative', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",0,net cash operating activities negative eur mn compared eur mn,"['net', 'cash', 'operating', 'activity', 'negative', 'eur', 'mn', 'eur', 'mn']"
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,0,net sales dropped year year eur million,"['net', 'sale', 'year', 'year', 'eur']"
Net sales have been eaten by the weak US dollar .,0,net sales eaten weak dollar,"['net', 'sale', 'weak', 'dollar']"
